Order ID,用途碼,用途中文說明,標準板編號,塗料編號,製造批號,Coil No.,Time,Coating Thickness正面,"Minimum thickness
 正面","Coating Thickness
 正面 -北","Coating Thickness
 正面 -南","Avergage Thickness
  (µm)正面",光澤60度反射(下限),光澤60度反射(上限),入料檢測-光澤,光澤-正-北,光澤-正-南,"Average value
 光澤正面","正-北
 ΔE","正-北
 ΔL","正-北
Δa","正-北
Δb","正-南
 ΔE","正-南
ΔL","正-南
Δa","正-南
Δb","Average value
ΔE 正面","Average value
ΔL 正面","Average value
 Δa 正面","Average value
Δb 正面","入料檢測
ΔE 正面","入料檢測
 ΔL 正面","入料檢測
Δa 正面","入料檢測
Δb 正面"
W3K33Y202,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N114-101,4CB599B00,2025/1/10,25,23,24.8,25.2,25,20,30,28,28.6,28.3,28.45,0.68,0.64,0.18,0.15,0.67,0.63,0.2,0.13,0.675,0.635,0.19,0.14,0.28,-0.22,0.12,0.11
W3K33Y202,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N114-101,4CB600B00,2025/1/10,25,23,24.9,25.2,25.1,20,30,28,28.5,27.9,28.2,0.7,0.66,0.2,0.14,0.7,0.66,0.19,0.12,0.7,0.66,0.195,0.13,0.28,-0.22,0.12,0.11
W3K33Y206,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N113-B77,4CB655A00,2025/1/10,25,23,24.9,24.5,24.7,20,30,30,28.8,28.6,28.7,0.68,0.61,0.21,0.2,0.68,0.62,0.2,0.2,0.68,0.615,0.205,0.2,0.43,0.22,0.26,0.25
W3K33Y206,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N113-B77,4CB655B00,2025/1/10,25,23,25.1,24.7,24.9,20,30,30,28.6,28.9,28.75,0.67,0.61,0.2,0.2,0.68,0.62,0.22,0.19,0.675,0.615,0.21,0.195,0.43,0.22,0.26,0.25
W3K33Y206,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N114-101,4CB656B00,2025/1/10,25,23,24.9,24.6,24.8,20,30,28,28.2,28.8,28.5,0.65,0.61,0.2,0.13,0.67,0.62,0.2,0.14,0.66,0.615,0.2,0.135,0.28,-0.22,0.12,0.11
W3K33Y206,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N114-101,4CB657B00,2025/1/10,25,23,25,24.7,24.9,20,30,28,27.4,27.5,27.45,0.61,0.57,-0.19,0.1,0.55,0.5,0.18,0.14,0.58,0.535,-0.005,0.12,0.28,-0.22,0.12,0.11
W3K33Y206,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N114-101,4CB658B00,2025/1/10,25,23,25.1,25.3,25.2,20,30,28,27.8,27.4,27.6,0.6,0.57,0.17,0.11,0.61,0.56,0.19,0.13,0.605,0.565,0.18,0.12,0.28,-0.22,0.12,0.11
W3K33Y206,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N114-101,4CB659B00,2025/1/10,25,23,25.3,25.5,25.4,20,30,28,27.5,27.9,27.7,0.65,0.6,0.2,0.16,0.66,0.61,0.21,0.15,0.655,0.605,0.205,0.155,0.28,-0.22,0.12,0.11
W3K33Y206,KD3N,隔間面板(背面層黏貼/發泡),YS2F12WAP/YS2G12WAP,PN2F12WAP,N114-101,4CB660B00,2025/1/10,25,23,25.2,25.1,25.2,20,30,28,27.4,27.2,27.3,0.68,0.63,0.21,0.14,0.67,0.62,0.22,0.14,0.675,0.625,0.215,0.14,0.28,-0.22,0.12,0.11
D3K33V405,KD3N,隔間面板(背面層黏貼/發泡),YS2042337,PS2042337,F414121211,4CB413B00,2025/1/11,25,23,24.9,25.1,25,20,30,26,23.6,23.4,23.5,0.34,0.11,-0.3,0.12,0.35,0.13,-0.3,0.12,0.345,0.12,-0.3,0.12,0.44,-0.19,-0.18,0.35
D3K33V405,KD3N,隔間面板(背面層黏貼/發泡),YS2042337,PS2042337,F174112201,4CB414A00,2025/1/11,25,23,25.1,24.7,24.9,20,30,25,24.2,24.4,24.3,0.32,0.05,-0.27,0.16,0.34,0.1,-0.29,0.14,0.33,0.08,-0.28,0.15,0.3,-0.13,0.19,0.24
D3K33V405,KD3N,隔間面板(背面層黏貼/發泡),YS2042337,PS2042337,F174112201,4CB414B00,2025/1/11,25,23,25.2,24.8,25,20,30,25,24.5,24.3,24.4,0.33,0.09,-0.28,0.15,0.32,0.1,-0.27,0.15,0.325,0.1,-0.28,0.15,0.3,-0.13,0.19,0.24
D3K33V408,KD3M,隔間面板(抗靜電--背面發泡黏貼),YS2E118G2,PK2E118G2,412-0205,4CA503B00,2025/1/12,25,23,25.2,24.7,25,10,20,18,16.4,16.5,16.45,0.46,-0.42,-0.15,-0.12,0.44,-0.4,-0.14,-0.13,0.45,-0.41,-0.145,-0.125,0.5,0.39,0.02,-0.31
D3K33V408,KD3M,隔間面板(抗靜電--背面發泡黏貼),YS2E118G2,PK2E118G2,412-0205,4CA504B00,2025/1/12,25,23,25,24.7,24.9,10,20,18,16.8,16.9,16.85,0.61,-0.6,-0.09,-0.1,0.57,-0.55,-0.1,-0.1,0.59,-0.575,-0.095,-0.1,0.5,0.39,0.02,-0.31
D3K33V405,KD3N,隔間面板(背面層黏貼/發泡),YS2042337,PS2042337,F174112201,4CB415A00,2025/1/12,25,23,25.1,24.9,25,20,30,25,23.6,23.5,23.55,0.47,0.26,-0.35,0.18,0.49,0.29,-0.36,0.17,0.48,0.28,-0.36,0.18,0.3,-0.13,0.19,0.24
D3K33V405,KD3N,隔間面板(背面層黏貼/發泡),YS2042337,PS2042337,F174112201,4CB415B00,2025/1/12,25,23,25.2,24.9,25.1,20,30,25,23.4,23.2,23.3,0.49,0.3,-0.34,0.18,0.49,0.28,-0.38,0.13,0.49,0.29,-0.36,0.16,0.3,-0.13,0.19,0.24
D3K33V408,KD3M,隔間面板(抗靜電--背面發泡黏貼),YS2E118G2,PK2E118G2,412-0205,4CB415M00,2025/1/12,25,23,24.8,24.4,24.6,10,20,18,16,16.2,16.1,0.52,-0.5,-0.12,-0.09,0.48,-0.45,-0.14,-0.09,0.5,-0.475,-0.13,-0.09,0.5,0.39,0.02,-0.31
D3K33V413,KD3N,隔間面板(背面層黏貼/發泡),YS2042337,PS2042337,F414121211,4CB477B00,2025/1/14,25,23,24.9,25.2,25.1,20,30,26,24.9,24.8,24.85,0.3,0.14,-0.25,0.09,0.31,-0.13,-0.24,0.15,0.305,0.01,-0.25,0.12,0.44,-0.19,-0.18,0.35
D3K33V413,KD3N,隔間面板(背面層黏貼/發泡),YS2042337,PS2042337,F174112201,4CB478A00,2025/1/14,25,23,24.6,24.5,24.6,20,30,25,24.5,24.5,24.5,0.25,0.05,-0.24,0.07,0.31,0.11,-0.26,0.13,0.28,0.08,-0.25,0.1,0.3,-0.13,0.19,0.24
D3K33V413,KD3N,隔間面板(背面層黏貼/發泡),YS2042337,PS2042337,F174112201,4CB478B00,2025/1/14,25,23,24.6,24.5,24.6,20,30,25,24.6,24.5,24.55,0.27,0.07,-0.25,0.07,0.32,0.1,-0.29,0.09,0.295,0.09,-0.27,0.08,0.3,-0.13,0.19,0.24
D3K33V413,KD3N,隔間面板(背面層黏貼/發泡),YS2042337,PS2042337,F174112201,4CB479B00,2025/1/14,25,23,24.7,24.6,24.7,20,30,25,24.2,24.2,24.2,0.27,0.1,-0.24,0.08,0.32,0.11,-0.26,0.15,0.295,0.11,-0.25,0.12,0.3,-0.13,0.19,0.24
D3K33V414,KD3M,隔間面板(抗靜電--背面發泡黏貼),YS2E123EK,PS2E123EK,F174112502,4CB489A00,2025/1/14,25,23,24.7,25.2,25,20,30,25,25.1,25.1,25.1,0.38,0.21,-0.3,-0.1,0.41,0.29,-0.28,-0.06,0.4,0.25,-0.29,-0.08,0.94,-0.93,0.12,-0.09
D3K33V414,KD3M,隔間面板(抗靜電--背面發泡黏貼),YS2E123EK,PS2E123EK,F174112502,4CB489B00,2025/1/14,25,23,24.8,24.9,24.9,20,30,25,25,24.9,24.95,0.4,0.23,-0.31,-0.1,0.41,0.28,-0.29,-0.08,0.41,0.26,-0.3,-0.09,0.94,-0.93,0.12,-0.09
D3K33V414,KD3M,隔間面板(抗靜電--背面發泡黏貼),YS2E123EK,PS2E123EK,F174121907,4CB490B00,2025/1/14,25,23,24.9,25.4,25.2,20,30,28,25.3,25.4,25.35,0.42,0.28,-0.31,-0.05,0.38,0.22,-0.3,-0.08,0.4,0.25,-0.31,-0.07,0.48,-0.46,-0.15,-0.04
D3K33V414,KD3M,隔間面板(抗靜電--背面發泡黏貼),YS2E123EK,PS2E123EK,F174121907,4CB491B00,2025/1/15,25,23,24.6,24.7,24.7,20,30,28,24.6,23,23.8,0.62,-0.23,-0.56,-0.12,0.59,-0.21,-0.54,-0.13,0.61,-0.22,-0.55,-0.13,0.48,-0.46,-0.15,-0.04
